INSTNM,CITY,STABBR,ZIP,ADM_RATE_ALL,ADMCON7,SAT_AVG,ACTCM25,ACTCM75,OPENADMP,PCTFLOAN_DCS,PCTPELL_DCS,FTFTPCTFLOAN,UGDS,UGDS_MEN,UGDS_WOMEN,UG25ABV,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,FIRSTGEN_DEBT_MDN,NOTFIRSTGEN_DEBT_MDN,PAR_ED_PCT_1STGEN,FAMINC,MD_FAMINC,PCT_BORN_US,UNEMP_RATE,COSTT4_A,COSTT4_P
Alabama A & M University,Normal,AL,35762,0.68395643875603,5.0,920.0,15.0,19.0,2.0,0.5365,0.6553,0.5039,5196.0,0.4055,0.5945,0.0617,0.0198,0.8955,0.011,0.0019,0.0025,0.0015,0.0127,0.0115,0.0435,16500,17275,0.3658280922,32362.826114,23553,94.7399978637695,4.84000015258789,23167.0,
University of Alabama at Birmingham,Birmingham,AL,35294-0110,0.86679400824369,5.0,1291.0,23.0,30.0,2.0,0.4214,0.3374,0.482,12776.0,0.3752,0.6248,0.1794,0.513,0.2528,0.0711,0.0819,0.0016,0.0005,0.0491,0.0237,0.0064,16250,15188,0.341223671,51306.674306,34489,96.5,3.45000004768371,26257.0,
Amridge University,Montgomery,AL,36117-3553,,,,,,1.0,0.5896,0.7769,,228.0,0.364,0.636,0.8606,0.2851,0.6623,0.0307,0.0,0.0044,0.0044,0.0,0.0,0.0132,13453,12250,0.5125,21079.472973,15033.5,94.0899963378906,3.59999990463256,,
University of Alabama in Huntsville,Huntsville,AL,35899,0.78104282386669,5.0,1259.0,25.0,30.0,2.0,0.3511,0.2235,0.3913,6985.0,0.5981,0.4019,0.1519,0.7102,0.0873,0.0666,0.0389,0.0087,0.0016,0.0465,0.0149,0.0252,14000,13760,0.3101321586,61096.588949,44787,95.2699966430664,3.64000010490417,25777.0,
Alabama State University,Montgomery,AL,36104-0271,0.9659783093151,5.0,963.0,16.0,20.0,2.0,0.768,0.6984,0.8294,3296.0,0.3595,0.6405,0.0677,0.0155,0.9251,0.0121,0.0015,0.0021,0.0009,0.0118,0.0221,0.0088,17299,19303,0.3434343434,31684.382188,22080.5,94.5299987792968,4.80999994277954,21900.0,
The University of Alabama,Tuscaloosa,AL,35487-0100,0.80059920106524,5.0,1304.0,23.0,31.0,2.0,0.3494,0.1843,0.3578,31360.0,0.4399,0.5601,0.0735,0.7336,0.1072,0.0577,0.0146,0.0036,0.0011,0.0344,0.0092,0.0386,18000,17967,0.2257126887,91846.749624,66733.5,96.0800018310547,3.25999999046325,31024.0,
Central Alabama Community College,Alexander City,AL,35010,,,,,,1.0,0.2532,0.5011,0.2192,963.0,0.3925,0.6075,0.1565,0.6802,0.2285,0.0322,0.0042,0.0021,0.0,0.0447,0.0052,0.0031,5750,5282,0.5496760259,30767.764486,22217,98.8499984741211,3.75999999046325,14041.0,
Athens State University,Athens,AL,35611,,,,,,,0.4389,0.4205,,2465.0,0.2929,0.7071,0.5569,0.7574,0.1258,0.0503,0.0049,0.0146,0.0008,0.0325,0.0041,0.0097,15000,13000,0.4774964838,38479.38737,29645.5,96.9599990844726,3.38000011444091,,
Auburn University at Montgomery,Montgomery,AL,36117-3596,0.92227074235807,1.0,1051.0,18.0,25.0,2.0,0.5329,0.5011,0.5029,3307.0,0.3245,0.6755,0.2031,0.4052,0.4584,0.0175,0.0287,0.0024,0.0009,0.0366,0.0454,0.0048,13336,12950,0.38189609,41987.986288,29671.5,96.8499984741211,3.78999996185302,19771.0,
Auburn University,Auburn,AL,36849,0.43744118355109,5.0,1292.0,24.0,30.0,2.0,0.2804,0.1261,0.2773,25234.0,0.4991,0.5009,0.04,0.8269,0.0425,0.0395,0.0279,0.0025,0.0006,0.029,0.028,0.003,18500,17095,0.1726471191,92148.626516,72031,94.9199981689453,3.14000010490417,33650.0,
Birmingham-Southern College,Birmingham,AL,35254,0.57171248757866,5.0,1218.0,22.0,29.0,2.0,0.6452,0.2277,0.8484,968.0,0.5248,0.4752,0.017,0.7397,0.1519,0.0558,0.0227,0.001,0.0,0.0134,0.0145,0.001,14816,17500,0.1724941725,86672.871041,68094.5,95.6900024414062,2.83999991416931,35495.0,
Chattahoochee Valley Community College,Phenix City,AL,36869,,,,,,1.0,0.2999,0.5899,0.2151,1101.0,0.307,0.693,0.3301,0.3524,0.4886,0.0173,0.0054,0.0027,0.0045,0.1017,0.0,0.0272,6367,5500,0.4302670623,26584.324786,20813,94.8799972534179,3.59999990463256,9320.0,
South University-Montgomery,Montgomery,AL,36116,,,,,,1.0,0.6914,0.6499,0.9167,315.0,0.1333,0.8667,0.6804,0.2,0.7429,0.0159,0.0063,0.0,0.0032,0.0063,0.0127,0.0127,12883,14576,0.4722883373,29130.921239,20000,91.0699996948242,3.6800000667572,32195.0,
Enterprise State Community College,Enterprise,AL,36330-1300,,,,,,1.0,0.2665,0.5554,0.2206,1359.0,0.507,0.493,0.2244,0.624,0.2009,0.0603,0.0125,0.0088,0.0007,0.0567,0.0088,0.0272,5500,5500,0.4218916047,30336.675829,20456,94.8000030517578,3.85999989509582,9452.0,
Coastal Alabama Community College,Bay Minette,AL,36507-2698,,,,,,1.0,0.2926,0.4549,0.2884,4809.0,0.3493,0.6507,0.2206,0.633,0.2362,0.0455,0.0079,0.0154,0.0015,0.0505,0.004,0.006,5500,5500,0.4351196495,36117.937329,24150,97.3300018310547,3.44000005722045,14446.0,
Faulkner University,Montgomery,AL,36109-3390,0.82407407407407,5.0,1021.0,17.0,24.0,2.0,0.6836,0.5172,0.7151,1587.0,0.4398,0.5602,0.4247,0.4461,0.4058,0.046,0.0113,0.0032,0.0025,0.0271,0.0365,0.0214,14750,16331,0.4300319489,36952.206116,24037.5,96.5899963378906,3.92000007629394,36169.0,
Gadsden State Community College,Gadsden,AL,35903,,,,,,1.0,0.0,0.5659,0.0,3446.0,0.3529,0.6471,0.3261,0.659,0.1953,0.0731,0.0081,0.0029,0.0012,0.0444,0.0131,0.0029,PS,PS,0.5149544863,19449.725019,16623,97.4700012207031,3.46000003814697,10613.0,
New Beginning College of Cosmetology,Albertville,AL,35951,,,,,,1.0,0.1579,0.2368,0.0408,45.0,0.0,1.0,0.2281,0.7556,0.0,0.2222,0.0,0.0,0.0,0.0,0.0,0.0222,PS,PS,0.5,22762.19469,17173,,,,17496.0
George C Wallace Community College-Dothan,Dothan,AL,36303-9234,,,,,,1.0,0.0,0.581,0.0,3069.0,0.2819,0.7181,0.3198,0.5435,0.3258,0.0639,0.0098,0.0026,0.0016,0.0433,0.0016,0.0078,PS,PS,0.4851537646,19125.651634,15816,97.1399993896484,3.51999998092651,8592.0,
George C Wallace State Community College-Hanceville,Hanceville,AL,35077-2000,,,,,,1.0,0.2586,0.4803,0.2216,4207.0,0.3266,0.6734,0.2306,0.7754,0.0839,0.0858,0.0062,0.0057,0.0,0.0335,0.0076,0.0019,8000,8750,0.498813157,36705.769088,27572,97.4899978637695,2.90000009536743,15488.0,
George C Wallace State Community College-Selma,Selma,AL,36702-2808,,,,,,1.0,0.0,0.7091,0.0,856.0,0.3423,0.6577,0.2114,0.1671,0.7874,0.0093,0.0082,0.0,0.0,0.0,0.0047,0.0234,PS,PS,0.5125881168,15431.714286,14330,98.6800003051758,5.13999986648559,9195.0,
Herzing University-Birmingham,Birmingham,AL,35209,0.94232105628908,3.0,,,,2.0,0.7385,0.6398,0.6875,570.0,0.2193,0.7807,0.7664,0.2807,0.6456,0.0211,0.007,0.0035,0.0018,0.0211,0.0,0.0193,11350,14080,0.5209032652,26184.228503,18321,93.6900024414062,3.32999992370605,28152.0,
Huntingdon College,Montgomery,AL,36106-2148,0.65954139137193,5.0,1086.0,18.0,24.0,2.0,0.7354,0.3921,0.8,810.0,0.5593,0.4407,0.0441,0.6691,0.1914,0.0568,0.0037,0.0049,0.0012,0.0531,0.0,0.0198,21306,18250,0.3456,53792.633136,37577,96.6600036621094,3.28999996185302,39717.0,
Heritage Christian University,Florence,AL,35630-9977,1.0,1.0,,,,2.0,0.0694,0.4583,0.0,72.0,0.9167,0.0833,0.5833,0.8472,0.0833,0.0556,0.0,0.0,0.0,0.0139,0.0,0.0,PS,PS,PS,33173.64,36524,95.870002746582,3.22000002861023,17810.0,
J. F. Drake State Community and Technical College,Huntsville,AL,35811,,,,,,1.0,0.0,0.5887,0.0,698.0,0.384,0.616,0.4725,0.245,0.6476,0.0415,0.0014,0.0029,0.0014,0.053,0.0057,0.0014,PS,PS,0.5899653979,16557.179487,13959,94.8199996948242,4.32999992370605,12078.0,
J F Ingram State Technical College,Deatsville,AL,36022,,,,,,1.0,0.0,0.27,0.0,768.0,0.8737,0.1263,0.8775,0.4076,0.569,0.0117,0.0026,0.0,0.0039,0.0026,0.0026,0.0,PS,PS,0.4918032787,321.3853211,0,,,6084.0,
Jacksonville State University,Jacksonville,AL,36265,0.78464598249801,5.0,1055.0,16.0,23.0,2.0,0.8138,0.506,0.569,7066.0,0.4029,0.5971,0.1258,0.6134,0.2591,0.0018,0.0052,0.005,0.0013,0.0,0.02,0.0943,14418,12500,0.3637702504,48404.346827,35734,96.6900024414062,3.55999994277954,22153.0,
Jefferson State Community College,Birmingham,AL,35215-3098,,,,,,1.0,0.2716,0.4105,0.2564,5550.0,0.3551,0.6449,0.2701,0.578,0.2571,0.087,0.0187,0.0032,0.0004,0.0321,0.0177,0.0058,4418,4500,0.4502907782,36652.478692,25922,97.1900024414062,3.15000009536743,14677.0,
John C Calhoun State Community College,Tanner,AL,35671,,,,,,1.0,0.1947,0.3772,0.2032,6549.0,0.434,0.566,0.2773,0.6293,0.1645,0.0936,0.0223,0.0115,0.0011,0.0629,0.0081,0.0069,6001,6188,0.455343703,37220.18136,25186,95.7300033569336,3.69000005722045,11532.0,
Lawson State Community College,Birmingham,AL,35221-1717,,,,,,1.0,0.0,0.6261,0.0,2554.0,0.3414,0.6586,0.3378,0.1065,0.8046,0.0427,0.0023,0.0008,0.0004,0.0364,0.0047,0.0016,PS,PS,0.4747231584,18229.648074,16187.5,98.0100021362304,5.30999994277954,14471.0,
University of West Alabama,Livingston,AL,35470,0.68859789204726,1.0,1015.0,17.0,21.0,2.0,0.503,0.4556,0.648,2424.0,0.2991,0.7009,0.373,0.4439,0.37,0.0297,0.0017,0.0095,0.0,0.021,0.0305,0.0936,13000,12876,0.403210576,39866.202586,25552.5,98.0199966430664,4.32000017166137,22456.0,
Lurleen B Wallace Community College,Andalusia,AL,36420-1224,,,,,,1.0,0.0,0.6097,0.0,1111.0,0.3699,0.6301,0.1459,0.6841,0.2439,0.0243,0.0072,0.0027,0.0,0.0369,0.0009,0.0,PS,PS,0.5203426124,20928.068966,18213,98.3499984741211,4.5,10125.0,
Marion Military Institute,Marion,AL,36756-3207,0.62700964630225,5.0,,,,2.0,0.3631,0.4076,0.3128,320.0,0.725,0.275,,0.6031,0.2125,0.0813,0.0219,0.0063,0.0063,0.0406,0.0031,0.025,5500,5500,0.2338028169,59761.888298,38434,92.75,3.57999992370605,18368.0,
Miles College,Fairfield,AL,35064-2621,,,,,,1.0,0.7428,0.7447,0.5915,1257.0,0.4527,0.5473,0.152,0.0318,0.9507,0.0064,0.0,0.0,0.0,0.0103,0.0,0.0008,15250,17311,0.4164588529,23637.283898,17702.5,96.0999984741211,5.25,22653.0,
University of Mobile,Mobile,AL,36613-2842,0.84082840236686,5.0,1220.0,21.0,27.0,2.0,0.6141,0.3827,0.636,1108.0,0.3691,0.6309,0.0623,0.6363,0.1625,0.019,0.0135,0.0262,0.0036,0.0352,0.0406,0.0632,19940,16357,0.3242857143,53850.791005,39700,96.8199996948242,3.94000005722045,37908.0,
University of Montevallo,Montevallo,AL,35115-6000,0.59835045129162,3.0,,,,2.0,0.533,0.4226,0.5209,2128.0,0.3684,0.6316,0.0804,0.6584,0.1706,0.071,0.0038,0.0033,0.0014,0.0357,0.0348,0.0211,17000,14800,0.3252375924,57173.946798,43813,97.0899963378906,2.95000004768371,26185.0,
Northwest Shoals Community College,Muscle Shoals,AL,35661,,,,,,1.0,0.2482,0.5274,0.1887,2026.0,0.3781,0.6219,0.167,0.7414,0.1032,0.0948,0.0059,0.0059,0.002,0.0415,0.0035,0.002,5500,5250,0.5141117875,29918.968492,21195,97.9499969482422,3.33999991416931,10919.0,
University of North Alabama,Florence,AL,35632-0001,0.95684709403841,3.0,,,,2.0,0.4272,0.3439,0.3594,5408.0,0.3706,0.6294,0.1399,0.7258,0.1023,0.0459,0.0139,0.0052,0.0013,0.0433,0.0584,0.0041,16022,15000,0.36326024,52721.785217,39436,97.5500030517578,3.39000010490417,21621.0,
Northeast Alabama Community College,Rainsville,AL,35986,,,,,,1.0,0.2032,0.6236,0.1364,1565.0,0.3502,0.6498,0.1712,0.7086,0.0192,0.1687,0.0045,0.016,0.0,0.0767,0.0058,0.0006,3913,4710,0.5827759197,29204.85756,22763,97.5999984741211,3.27999997138977,9660.0,
Oakwood University,Huntsville,AL,35896,0.6804979253112,3.0,,,,2.0,0.6477,0.4906,0.5393,1378.0,0.4267,0.5733,0.1284,0.0094,0.7438,0.0943,0.0007,0.0022,0.0,0.0232,0.1197,0.0065,20625,21500,0.17623498,50868.943834,36829,86.4499969482422,4.25,38377.0,
Reid State Technical College,Evergreen,AL,36401,,,,,,1.0,0.0,0.7765,0.0,281.0,0.3986,0.6014,0.3717,0.3203,0.6299,0.0,0.0107,0.0107,0.0,0.0285,0.0,0.0,PS,PS,0.5903225806,16019.3297,14034,98.8899993896484,4.71000003814697,11482.0,
Bishop State Community College,Mobile,AL,36603-5898,,,,,,1.0,0.0,0.6499,0.0,1943.0,0.3376,0.6624,0.353,0.2337,0.667,0.0247,0.0139,0.0067,0.0015,0.0381,0.0098,0.0046,PS,PS,0.4853977845,16541.26577,14536.5,97.5,5.15999984741211,11616.0,
Samford University,Birmingham,AL,35229-2240,0.83260318192298,5.0,1227.0,23.0,29.0,2.0,0.29,0.1052,0.3279,3668.0,0.3225,0.6775,0.0166,0.8506,0.0534,0.0409,0.0144,0.0008,0.0016,0.0207,0.0093,0.0082,16500,15750,0.1380552221,108313.94042,87745,94.6399993896484,2.6800000667572,52514.0,
Selma University,Selma,AL,36701,,,,,,1.0,,,,30.0,0.4333,0.5667,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.6194331984,16153.155932,9948,,,,
Shelton State Community College,Tuscaloosa,AL,35405-8522,,,,,,1.0,0.0,0.3902,0.0,3257.0,0.4166,0.5834,0.3011,0.5063,0.4001,0.0439,0.0068,0.0018,0.0012,0.0332,0.0052,0.0015,PS,PS,0.4763044519,19222.902755,15976.5,97.8000030517578,4.01999998092651,15065.0,
Snead State Community College,Boaz,AL,35957-0734,,,,,,1.0,0.203,0.5563,0.1496,1494.0,0.3501,0.6499,0.1947,0.6821,0.0696,0.1968,0.0067,0.004,0.0,0.0295,0.0067,0.0047,6500,5848,0.5326251897,31610.012362,23735,95.5,3.46000003814697,12800.0,
University of South Alabama,Mobile,AL,36688-0002,0.65362549800796,1.0,1118.0,20.0,26.0,2.0,0.5184,0.3943,0.5465,8171.0,0.3876,0.6124,0.128,0.6036,0.2224,0.0466,0.0405,0.0071,0.0011,0.043,0.0136,0.0222,18500,17202,0.334257975,52728.845016,36199,96.5,3.90000009536743,22667.0,
Spring Hill College,Mobile,AL,36608-1780,0.72634146341463,5.0,1094.0,19.0,24.0,2.0,0.5671,0.3542,0.5509,932.0,0.4303,0.5697,0.0475,0.6062,0.1309,0.0944,0.015,0.0086,0.0011,0.0172,0.0923,0.0343,20362,23000,0.2516339869,79894.033639,61189,93.8799972534179,3.56999993324279,35488.0,
Stillman College,Tuscaloosa,AL,35401,0.64544946957007,3.0,,,,2.0,0.6785,0.6999,0.596,727.0,0.4457,0.5543,0.2225,0.0275,0.9519,0.0069,0.0028,0.0028,0.0,0.0,0.0,0.0083,16000,16000,0.4105058366,27754.87695,19890,94.8099975585937,4.80999994277954,25678.0,
Talladega College,Talladega,AL,35160,,,,,,1.0,0.6935,0.7033,0.6624,832.0,0.5204,0.4796,0.1241,0.0144,0.8389,0.0481,0.0,0.0048,0.0024,0.0108,0.0733,0.0072,15000,15625,0.3980582524,27002.32377,18810,94.6500015258789,5.19999980926513,22267.0,
H Councill Trenholm State Community College,Montgomery,AL,36108-3199,,,,,,1.0,0.0,0.6997,0.0,1599.0,0.3827,0.6173,0.3234,0.1814,0.7273,0.0419,0.0094,0.0031,0.0013,0.03,0.0038,0.0019,PS,PS,0.4304399524,18126.977755,15992,97.5100021362304,4.34999990463256,12688.0,
Troy University,Troy,AL,36082-0001,0.94840085287846,1.0,1050.0,17.0,24.0,2.0,0.6815,0.4376,0.851,10316.0,0.3534,0.6466,0.3538,0.5303,0.3226,0.0457,0.0062,0.0026,0.0013,0.0426,0.0233,0.0255,16250,15488,0.3898457122,42757.394639,29641,95.6100006103515,3.84999990463256,22005.0,
Tuskegee University,Tuskegee,AL,36088-1920,0.29685294361869,1.0,1091.0,18.0,24.0,2.0,0.6289,0.5776,0.5761,2100.0,0.3814,0.6186,0.0385,0.0062,0.909,0.0186,0.0033,0.0033,0.02,0.0,0.0,0.0395,21000,21500,0.2306438468,50928.444106,35336,89.7399978637695,4.84999990463256,41924.0,
United States Sports Academy,Daphne,AL,36526-7055,1.0,3.0,,,,2.0,0.2581,0.6129,,94.0,0.8191,0.1809,0.8028,0.383,0.2447,0.1383,0.0,0.0106,0.0,0.0745,0.0106,0.1383,PS,PS,PS,36311.690141,29000,91.0599975585937,3.54999995231628,,
Bevill State Community College,Jasper,AL,35501,,,,,,1.0,0.0,0.498,0.0,2205.0,0.3587,0.6413,0.2344,0.7433,0.1741,0.0313,0.005,0.0032,0.0,0.0354,0.0005,0.0073,PS,PS,0.5308083663,19747.081764,16911,98.620002746582,3.82999992370605,15002.0,
University of Alaska Anchorage,Anchorage,AK,99508,0.65318352059925,3.0,,,,2.0,0.223,0.2718,0.194,6778.0,0.3975,0.6025,0.4421,0.4923,0.036,0.1146,0.0937,0.051,0.0274,0.1226,0.0173,0.045,11250,11068,0.3891938746,46723.651169,33525,91.75,5.21999979019165,23461.0,
Alaska Bible College,Palmer,AK,99645,,,,,,1.0,0.0769,0.5897,0.1667,31.0,0.6452,0.3548,0.2727,0.9032,0.0323,0.0,0.0,0.0,0.0,0.0645,0.0,0.0,PS,PS,PS,52437.533333,42490,,,19679.0,
University of Alaska Fairbanks,Fairbanks,AK,99775,,,,,,1.0,0.26,0.3067,0.21,4010.0,0.4012,0.5988,0.45,0.5332,0.0334,0.096,0.0224,0.1302,0.009,0.1035,0.012,0.0603,11000,12989,0.3988326848,48958.06457,35967,93.3899993896484,6.55999994277954,19814.0,
University of Alaska Southeast,Juneau,AK,99801-8697,0.62660944206008,3.0,,,,2.0,0.2523,0.2763,0.2703,964.0,0.333,0.667,0.5185,0.5498,0.0073,0.0882,0.0602,0.0954,0.0176,0.139,0.0052,0.0373,11152,8313,0.3951434879,46682.37037,34718,92.9700012207031,5.21999979019165,17471.0,
Alaska Pacific University,Anchorage,AK,99508,0.99308755760368,3.0,,,,2.0,0.5507,0.4029,0.4857,457.0,0.1772,0.8228,0.5559,0.3282,0.0481,0.0153,0.0656,0.2757,0.0175,0.0263,0.0088,0.2144,12500,13360,PS,59045.794521,38810,91.3300018310547,4.71999979019165,36422.0,
Alaska Vocational Technical Center,Seward,AK,99664-0889,,,,,,1.0,0.062,0.3333,0.0426,202.0,0.6931,0.3069,0.5097,0.3515,0.0099,0.0297,0.0149,0.4257,0.005,0.1188,0.0,0.0446,PS,PS,0.4413793103,36850.449438,22043,95.1999969482422,8.42000007629394,,23745.0
Charter College,Anchorage,AK,99508-4103,,,,,,1.0,0.6181,0.4971,0.7996,2117.0,0.2726,0.7274,0.6059,0.4171,0.0822,0.1866,0.0321,0.1205,0.0298,0.0883,0.0071,0.0364,11668,12667,0.5540401441,27562.580756,18566,90.0899963378906,4.92000007629394,30947.0,
Alaska Career College,Anchorage,AK,99507-1033,,,,,,1.0,0.5992,0.6287,0.5656,268.0,0.1343,0.8657,0.6246,0.3022,0.1045,0.0821,0.1418,0.2388,0.0224,0.0821,0.0,0.0261,7199,5500,0.4767726161,32849.291667,23113.5,90.5,5.53000020980835,,22844.0
Empire Beauty School-Tucson,Tucson,AZ,85716,,,,,,1.0,0.5404,0.5489,0.4096,184.0,0.0543,0.9457,0.4058,0.2337,0.0761,0.5272,0.0109,0.0326,0.0,0.0761,0.0,0.0435,8028,8028,0.5698717949,21986.05903,14099,92.3300018310547,3.77999997138977,,20641.0
Carrington College-Phoenix North,Phoenix,AZ,85051-4063,,,,,,1.0,0.5559,0.5352,0.715,1047.0,0.1977,0.8023,0.4731,0.1738,0.0888,0.5654,0.0277,0.0372,0.0019,0.0076,0.0076,0.0898,9240,9500,0.5548350719,24522.548998,16832.5,85.5500030517578,3.98000001907348,,30659.0
Carrington College-Mesa,Mesa,AZ,85210-5005,,,,,,1.0,0.6316,0.4748,0.728,532.0,0.1297,0.8703,0.5465,0.2425,0.0677,0.4586,0.0301,0.0771,0.0038,0.0094,0.0038,0.1071,9240,9500,0.5548350719,24522.548998,16832.5,85.5500030517578,3.98000001907348,,44993.0
Carrington College-Tucson,Tucson,AZ,85745-2974,,,,,,1.0,0.5954,0.5467,0.7986,446.0,0.1861,0.8139,0.4468,0.1749,0.0762,0.6188,0.0247,0.0314,0.0045,0.0112,0.0022,0.0561,9240,9500,0.5548350719,24522.548998,16832.5,85.5500030517578,3.98000001907348,,31794.0
Arizona Academy of Beauty,Tucson,AZ,85712,,,,,,1.0,0.5417,0.6111,1.0,34.0,0.0588,0.9412,0.4792,0.2353,0.2059,0.5,0.0294,0.0,0.0,0.0294,0.0,0.0,PS,PS,0.5053763441,20075.723214,12607.5,84.8399963378906,3.36999988555908,,20321.0
Miller-Motte College-Arizona Automotive Institute,Glendale,AZ,85301-3579,,,,,,1.0,0.6633,0.7083,0.741,411.0,0.8564,0.1436,0.5779,0.2384,0.0973,0.4623,0.0049,0.1071,0.0097,0.0754,0.0,0.0049,10587,12139,0.5862318841,22994.267789,16310,93.2399978637695,3.27999997138977,,27409.0
Brookline College-Phoenix,Phoenix,AZ,85021,,,,,,1.0,0.6398,0.4678,0.5417,841.0,0.1082,0.8918,0.717,0.2545,0.126,0.3246,0.0321,0.0702,0.0059,0.0107,0.0024,0.1736,9497,11611,0.5590327169,21243.80658,15003.5,83.7200012207031,3.98000001907348,,39030.0
Arizona State University Campus Immersion,Tempe,AZ,85287,0.86994418038413,3.0,,,,2.0,0.2853,0.3149,0.2869,64778.0,0.5093,0.4907,0.0936,0.4517,0.0429,0.2596,0.0877,0.0112,0.0021,0.0506,0.0661,0.0282,13586,13692,0.3813179205,56365.776329,35851.5,86.9599990844726,3.15000009536743,26937.0,
Arizona Western College,Yuma,AZ,85365-8834,,,,,,1.0,0.0034,0.41,0.0019,7595.0,0.4028,0.5972,0.2351,0.1065,0.0124,0.6421,0.0071,0.0083,0.0012,0.0136,0.0136,0.1953,4500,3500,0.6107646866,25140.539941,21462.5,67.6800003051757,7.92000007629394,15695.0,
University of Arizona,Tucson,AZ,85721-0066,0.86759708970839,5.0,1229.0,21.0,29.0,2.0,0.2823,0.2848,0.244,37979.0,0.4412,0.5588,0.1419,0.4936,0.0414,0.2791,0.0526,0.013,0.0021,0.0511,0.0489,0.0182,13500,14000,0.3140729569,69476.758167,43043,86.4300003051757,3.26999998092651,27682.0,
Central Arizona College,Coolidge,AZ,85128-9030,,,,,,1.0,0.0314,0.2634,0.0405,4402.0,0.3841,0.6159,0.3689,0.3721,0.0684,0.4262,0.0216,0.0293,0.0052,0.035,0.0143,0.0279,6385,5500,0.498192045,29071.803691,23659.5,88.2300033569336,4.30000019073486,11627.0,
Charles of Italy Beauty College,Lake Havasu City,AZ,86403,,,,,,1.0,0.58,0.59,0.5287,85.0,0.0235,0.9765,0.625,0.4353,0.0471,0.2353,0.0118,0.0,0.0,0.0235,0.0,0.2471,PS,PS,0.4923076923,24964.644737,14913,93.120002746582,3.23000001907348,,16199.0
Cochise County Community College District,Sierra Vista,AZ,85635-2317,,,,,,1.0,0.0746,0.4839,0.0568,3032.0,0.4525,0.5475,0.3527,0.3503,0.0521,0.503,0.0139,0.0076,0.0033,0.0412,0.0188,0.0099,5500,5500,0.4862385321,25421.042007,20864,81.5400009155273,3.38000011444091,12971.0,
Empire Beauty School-Chandler,Chandler,AZ,85224,,,,,,1.0,0.589,0.6849,0.68,60.0,0.0833,0.9167,0.5349,0.15,0.25,0.2,0.0333,0.0667,0.0,0.0333,0.0,0.2667,7667,7917,0.5013912076,24748.90189,15061,92.2399978637695,4.15999984741211,,20240.0
Avalon Institute-Mesa,Mesa,AZ,85210,,,,,,1.0,0.5248,0.4837,0.7589,383.0,0.0078,0.9922,0.3528,0.4595,0.1253,0.3316,0.0183,0.0183,0.0052,0.0261,0.0,0.0157,6287,6332,0.4886052871,35576.540666,23353,87.870002746582,2.94000005722045,,19135.0
Eastern Arizona College,Thatcher,AZ,85552-0769,,,,,,1.0,0.0,0.2764,0.0,2942.0,0.4018,0.5982,0.4901,0.6081,0.0197,0.2179,0.0099,0.0704,0.0041,0.0194,0.0116,0.0391,PS,PS,0.3934707904,23819.861173,18854,94.2600021362304,6.05000019073486,15230.0,
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,86301-3720,0.64585818422796,5.0,1278.0,24.0,31.0,2.0,0.3516,0.1791,0.4556,3114.0,0.7258,0.2742,0.0626,0.5768,0.0186,0.1506,0.061,0.0051,0.0051,0.0684,0.0912,0.0231,14000,15000,0.3554592721,58582.5004,38662,88.120002746582,3.20000004768371,58036.0,
The School of Architecture,Scottsdale,AZ,85250,,,,,,,,,,,,,,,,,,,,,,,PS,PS,,,,,,,
Glendale Community College,Glendale,AZ,85302,,,,,,1.0,0.0896,0.3506,0.0595,9807.0,0.4402,0.5598,0.2909,0.3556,0.0678,0.4337,0.0458,0.014,0.0018,0.0486,0.0094,0.0234,4500,4500,0.529686243,27349.886038,22267,85.2799987792968,3.49000000953674,16231.0,
Grand Canyon University,Phoenix,AZ,85017,0.77866502866502,5.0,,,,2.0,0.5406,0.4364,0.576,65147.0,0.299,0.701,0.5297,0.4882,0.1528,0.2335,0.0291,0.0089,0.0066,0.0473,0.0105,0.0231,12500,13301,0.4744080533,45046.415322,29879,88.9800033569336,3.5,31440.0,
GateWay Community College,Phoenix,AZ,85034,,,,,,1.0,0.15,0.3508,0.0909,3470.0,0.3389,0.6611,0.4689,0.2628,0.1141,0.5156,0.032,0.0285,0.0035,0.0323,0.0023,0.0089,4500,5250,0.5662280702,26670.441259,21260,81.0599975585937,3.91000008583068,17711.0,
Mesa Community College,Mesa,AZ,85202,,,,,,1.0,0.0953,0.2685,0.0851,11351.0,0.4605,0.5395,0.3251,0.4249,0.0598,0.3509,0.0432,0.0338,0.0036,0.0473,0.0183,0.0181,4500,4500,0.4578514912,29624.761367,22608.5,87.7699966430664,3.15000009536743,17128.0,
Mohave Community College,Kingman,AZ,86409-1238,,,,,,1.0,0.0969,0.4859,0.1091,2791.0,0.3074,0.6926,0.4669,0.6181,0.015,0.2719,0.0147,0.0215,0.0025,0.0351,0.0057,0.0154,8000,9025,0.5360896987,24158.018846,19727,93.1800003051757,3.70000004768371,11230.0,
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Avondale,AZ,85323,,,,,,1.0,0.5725,0.4544,0.7093,658.0,0.9301,0.0699,0.5339,0.5684,0.0547,0.1717,0.003,0.0228,0.003,0.1216,0.0,0.0547,10375,10239,0.5109021804,38915.833915,26362,89.120002746582,3.33999991416931,,25304.0
